"OPCOES_MUN"
"3418404 - Guaratinguetá"
"3417802 - Guaraçaí"
"3418503 - Guareí"
"3418602 - Guariba"
"3418701 - Guarujá"
"3418800 - Guarulhos"
"3417703 - Guará"
"3418859 - Guatapará"
"3417406 - Guaíra"
"3418909 - Guzolândia"
"3416606 - Gália"
"3419006 - Herculândia"
"3419055 - Holambra"
"3419071 - Hortolândia"
"3419105 - Iacanga"
"3419204 - Iacri"
"3419253 - Iaras"
"3419303 - Ibaté"
"3419501 - Ibirarema"
"3419402 - Ibirá"
"3419600 - Ibitinga"
"3419709 - Ibiúna"
"3419808 - Icém"
"3419907 - Iepê"
"3420103 - Igarapava"
"3420202 - Igaratá"
"3420004 - Igaraçu do Tietê"
"3420301 - Iguape"
"3420426 - Ilha Comprida"
"3420442 - Ilha Solteira"
"3420400 - Ilhabela"
"3420509 - Indaiatuba"
"3420608 - Indiana"
"3420707 - Indiaporã"
"3420806 - Inúbia Paulista"
"3420905 - Ipaussu"
"3421002 - Iperó"
"3421101 - Ipeúna"
"3421150 - Ipiguá"
"3421200 - Iporanga"
"3421309 - Ipuã"
"3421408 - Iracemápolis"
"3421606 - Irapuru"
"3421507 - Irapuã"
"3421705 - Itaberá"
"3421903 - Itajobi"
"3422000 - Itaju"
"3422109 - Itanhaém"
"3422208 - Itapecerica da Serra"
"3422307 - Itapetininga"
"3422406 - Itapeva"
"3422505 - Itapevi"
"3422604 - Itapira"
"3422653 - Itapirapuã Paulista"
"3422802 - Itaporanga"
"3423008 - Itapura"
"3422901 - Itapuí"
"3423107 - Itaquaquecetuba"
"3423206 - Itararé"
"3423305 - Itariri"
"3423404 - Itatiba"
"3423503 - Itatinga"
"3421804 - Itaí"
"3422158 - Itaóca"
"3423602 - Itirapina"
"3423701 - Itirapuã"
"3423800 - Itobi"
"3423909 - Itu"
"3424006 - Itupeva"
"3424105 - Ituverava"
"3422703 - Itápolis"
"3424204 - Jaborandi"
"3424303 - Jaboticabal"
"3424402 - Jacareí"
"3424501 - Jaci"
"3424600 - Jacupiranga"
"3424709 - Jaguariúna"
"3424808 - Jales"
"3424907 - Jambeiro"
"3425003 - Jandira"
"3425102 - Jardinópolis"
"3425201 - Jarinu"
"3425300 - Jaú"
"3425409 - Jeriquara"
"3425508 - Joanópolis"
"3425706 - José Bonifácio"
"3425607 - João Ramalho"
"3425854 - Jumirim"
"3425904 - Jundiaí"
"3426001 - Junqueirópolis"
"3426209 - Juquitiba"
"3426100 - Juquiá"
"3425805 - Júlio Mesquita"
"3426308 - Lagoinha"
"3426407 - Laranjal Paulista"
"3426605 - Lavrinhas"
"3426506 - Lavínia"
"3426704 - Leme"
"3426803 - Lençóis Paulista"
"3426902 - Limeira"
"3427009 - Lindóia"
"3427108 - Lins"
"3427207 - Lorena"
"3427256 - Lourdes"
"3427306 - Louveira"
"3427504 - Lucianópolis"
"3427405 - Lucélia"
"3427702 - Luiziânia"
"3427801 - Lupércio"
"3427900 - Lutécia"
"3427603 - Luís Antônio"
"3428007 - Macatuba"
"3428106 - Macaubal"
"3428205 - Macedônia"
"3428304 - Magda"
"3428403 - Mairinque"
"3428502 - Mairiporã"
"3428601 - Manduri"
"3428700 - Marabá Paulista"
"3428809 - Maracaí"
"3428858 - Marapoama"
"3429104 - Marinópolis"
"3428908 - Mariápolis"
"3429203 - Martinópolis"
"3429005 - Marília"
"3429302 - Matão"
"3429401 - Mauá"
"3429500 - Mendonça"
"3429609 - Meridiano"
"3429658 - Mesópolis"
"3429708 - Miguelópolis"
"3429807 - Mineiros do Tietê"
"3430003 - Mira Estrela"
"3429906 - Miracatu"
"3430102 - Mirandópolis"
"3430201 - Mirante do Paranapanema"
"3430300 - Mirassol"
"3430409 - Mirassolândia"
"3430508 - Mococa"
"3430706 - Mogi Guaçu"
"3430607 - Mogi das Cruzes"
"3430805 - Mogi-Mirim"
"3430904 - Mombuca"
"3431100 - Mongaguá"
"3431209 - Monte Alegre do Sul"
"3431308 - Monte Alto"
"3431407 - Monte Aprazível"
"3431506 - Monte Azul Paulista"
"3431605 - Monte Castelo"
"3431803 - Monte Mor"
"3431704 - Monteiro Lobato"
"3431001 - Monções"
"3431902 - Morro Agudo"
"3432009 - Morungaba"
"3432058 - Motuca"
"3432108 - Murutinga do Sul"
"3432157 - Nantes"
"3432207 - Narandiba"
"3432306 - Natividade da Serra"
"3432405 - Nazaré Paulista"
"3432504 - Neves Paulista"
"3432603 - Nhandeara"
"3432702 - Nipoã"
"3432801 - Nova Aliança"
"3432827 - Nova Campina"
"3432843 - Nova Canaã Paulista"
"3432868 - Nova Castilho"
"3432900 - Nova Europa"
"3433007 - Nova Granada"
"3433106 - Nova Guataporanga"
"3433205 - Nova Independência"
"3433304 - Nova Luzitânia"
"3433403 - Nova Odessa"
"3433254 - Novais"
"3433502 - Novo Horizonte"
"3433601 - Nuporanga"
"3433700 - Ocauçu"
"3433908 - Olímpia"
"3434005 - Onda Verde"
"3434104 - Oriente"
"3434203 - Orindiúva"
"3434302 - Orlândia"
"3434401 - Osasco"
"3434500 - Oscar Bressane"
"3434609 - Osvaldo Cruz"
"3434708 - Ourinhos"
"3434807 - Ouro Verde"
"3434757 - Ouroeste"
"3434906 - Pacaembu"
"3435002 - Palestina"
