"NO_PAIS"
"Não Definido"
"Afeganistão"
"Aland, Ilhas"
"Albânia"
"Alboran-Perejil, Ilhas"
"Alemanha"
"Alemanha Oriental"
"Burkina Faso"
"Andorra"
"Angola"
"Anguilla"
"Antártica"
"Antígua e Barbuda"
"Antilhas Holandesas"
"Arábia Saudita"
"Argélia"
"Argentina"
"Armênia"
"Aruba"
"Austrália"
"Áustria"
"Azerbaijão"
"Bahamas"
"Barein"
"Bangladesh"
"Barbados"
"Belarus"
"Bélgica"
"Belize"
"Bermudas"
"Mianmar"
"Bolívia"
"Bósnia-Herzegovina"
"Bonaire, Saint Eustatius e Saba"
"Internação na Zona Franca de Manaus"
"Botsuana"
"Bouvet, Ilha"
"Brasil"
"Brunei"
"Bulgária"
"Burundi"
"Butão"
"Cabo Verde"
"Cayman, Ilhas"
"Camboja"
"Camarões"
"Canadá"
"Canal, Ilhas do (Guernsey)"
"Canárias, Ilhas"
"Canal, Ilhas do (Jersey)"
"Cazaquistão"
"Catar"
"Chile"
"China"
"Taiwan (Formosa)"
"Chipre"
"Cocos (Keeling), Ilhas"
"Colômbia"
"Comores"
"Congo"
"Cook, Ilhas"
"Coreia do Norte"
"Coreia do Sul"
"Costa do Marfim"
"Croácia"
"Costa Rica"
"Coveite (Kuweit)"
"Cuba"
"Curaçao"
"Benin"
"Dinamarca"
"Dominica"
"Dubai"
"Equador"
"Egito"
"Eritreia"
"Emirados Árabes Unidos"
"Espanha"
"Eslovênia"
"Eslováquia"
"Estados Unidos"
"Estônia"
"Etiópia"
"Falkland (Malvinas)"
"Faroe, Ilhas"
"Filipinas"
"Finlândia"
"França"
"Gabão"
"Gâmbia"
"Gana"
"Geórgia"
"Geórgia do Sul e Sandwich do Sul, Ilhas"
"Gibraltar"
"Granada"
"Grécia"
"Groenlândia"
"Guadalupe"
"Guam"
"Guatemala"
"Guernsey"
"Guiana Francesa"
"Guiné"
"Guiné Equatorial"
"Guiné-Bissau"
"Guiana"
"Haiti"
"Heard e ilhas mcdonald, Ilha"
"Honduras"
"Hong Kong"
"Hungria"
"Iêmen"
"Iêmen Democrático"
"Ilha de Man"
"Índia"
"Indonésia"
"Inglaterra"
"Iraque"
"Irã"
"Irlanda"
"Islândia"
"Israel"
"Itália"
"Iugoslávia"
"Jamaica"
"Jersey"
"Johnston, Ilhas"
"Japão"
"Jordânia"
"Kiribati"
"Laos"
"Lebuan, Ilhas"
"Lesoto"
"Letônia"
"Líbano"
"Libéria"
"Líbia"
"Liechtenstein"
"Lituânia"
"Luxemburgo"
"Macau"
"Macedônia"
"Madagascar"
"Madeira, Ilha da"
"Malásia"
"Malavi"
"Maldivas"
"Mali"
"Malta"
"Marianas do Norte, Ilhas"
"Marrocos"
"Marshall, Ilhas"
"Martinica"
"Maurício"
"Mauritânia"
"Mayotte"
"Midway, Ilhas"
"México"
"Moldávia"
"Mônaco"
"Mongólia"
"Montenegro"
"Micronésia"
"Montserrat"
"Moçambique"
"Namíbia"
"Nauru"
"Christmas (Navidad), Ilha"
"Nepal"
"Nicarágua"
"Níger"
"Nigéria"
"Niue"
"Norfolk, Ilha"
"Noruega"
"Nova Caledônia"
"Papua Nova Guiné"
"Nova Zelândia"
"Vanuatu"
"Omã"
"Pacífico, Ilhas do (Administração dos EUA)"
"Pacífico, Ilhas do (EUA)"
"Pacífico, Ilhas do (Território Fideicomisso EUA)"
"Países Baixos (Holanda)"
"Palau"
"Paquistão"
"Palestina"
"Panamá"
"Papua, Território de"
"Paraguai"
"Peru"
"Pitcairn"
"Polinésia Francesa"
"Polônia"
"Portugal"
"Porto Rico"
"Quênia"
"Quirguistão"
"Reino Unido"
"República Centro-Africana"
"República Dominicana"
"Reunião"
"Zimbábue"
"Romênia"
"Ruanda"
"Rússia"
"Salomão, Ilhas"
"Saint Kitts e Nevis"
"Saara Ocidental"
"El Salvador"
"Samoa"
"Samoa Americana"
"São Bartolomeu"
"São Cristóvão e Névis"
"San Marino"
"São Martinho, Ilha de (parte francesa)"
"Sint Maarten"
"São Pedro e Miquelon"
"São Vicente e Granadinas"
"Santa Helena"
"Santa Lúcia"
"São Tomé e Príncipe"
"Senegal"
"Seicheles"
"Serra Leoa"
"Sérvia"
"Singapura"
"Síria"
"Somália"
"Sri Lanka"
"Suazilândia"
"Svalbard e Jan Mayen"
"África do Sul"
"Sudão"
"Sudão do Sul"
"Suécia"
"Suíça"
"Suriname"
"Tadjiquistão"
"Tailândia"
"Tanzânia"
"Terras Austrais Francesas"
"Território Britânico do Oceano Índico"
"Djibuti"
"Território da Alta Comissão do Pacífico Ocidental"
"Território Antártico Britânico"
"Chade"
"Tchecoslováquia"
"Tcheca, República"
"Timor Leste"
"Togo"
"Toquelau"
"Tonga"
"Trinidad e Tobago"
"Tunísia"
"Turcas e Caicos, Ilhas"
"Turcomenistão"
"Turquia"
"Tuvalu"
"Ucrânia"
"Uganda"
"União das Repúblicas Socialistas Soviéticas"
"Uruguai"
"Uzbequistão"
"Vaticano"
"Venezuela"
"Vietnã"
"Virgens, Ilhas (Britânicas)"
"Virgens, Ilhas (Americanas)"
"Fiji"
"Wake, Ilha"
"Wallis e Futuna, Ilhas"
"Congo, República Democrática"
"Zâmbia"
"Zona do Canal do Panamá"
"Provisão de Navios e Aeronaves"
"A Designar"
"Bancos Centrais"
"Organizações Internacionais"
"Sem informação"
"Não Declarados"
